condition,mode,n_samples,ok,semantic_validation_passed,accuracy,argmax_agreement_poly_vs_fhe,relative_l2,logits_linf,logits_mae,ciphertext_count,samples_per_ciphertext,slot_utilization,matrix_build_s,matrix_encode_s,key_generation_s,encryption_s_total,linear1_s_total,activation_s_total,linear2_s_total,decryption_s_total,runtime_total_s,runtime_per_sample_s,dense_matrix_mib_total,exception
ckks_pca32_packed_lightplainmatrix,lightplainmatrix,1,True,True,1.0,1.0,3.898206188330535e-07,1.4641278351934517e-06,7.620509667023711e-07,1,256,0.00390625,0.011976374982623383,6.190513958019437,14.06502904201625,0.0142524590191897,19.92578049999429,0.05130116699729115,11.064688959013438,0.017105292004998773,51.3525337909814,51.3525337909814,1024.0,
ckks_pca32_packed_lightplainmatrix,lightplainmatrix,32,True,True,0.9375,1.0,4.421807459163864e-08,1.5242347325833405e-06,3.962295660340978e-08,1,256,0.125,0.012043708004057407,6.3518360419839155,14.350472040998284,0.014314041007310152,20.11862683299114,0.049323083978379145,11.41788524997537,0.017017250007484108,52.34736320900265,1.6358551002813329,1024.0,
ckks_pca32_packed_lightplainmatrix,lightplainmatrix,64,True,True,0.953125,1.0,2.571301546111756e-08,1.3298844989684255e-06,2.845710535004386e-08,1,256,0.25,0.010909208009252325,6.266188374982448,14.241087375005009,0.014334084000438452,20.27974133301177,0.04887583400704898,11.25798058300279,0.017149125022115186,52.1494268749957,0.8148347949218078,1024.0,
ckks_pca32_packed_lightplainmatrix,lightplainmatrix,128,True,True,0.9453125,1.0,1.7092316239240214e-08,1.159450450094468e-06,2.2950997218432142e-08,1,256,0.5,0.012260459014214575,6.2649152080120984,14.441844041983131,0.01456495898310095,20.135186875006184,0.0493794169742614,11.061070666008163,0.016854916990268975,52.014418958016904,0.40636264810950706,1024.0,
ckks_pca32_packed_lightplainmatrix,lightplainmatrix,256,True,True,0.93359375,1.0,1.5893830259737454e-08,1.5022637251255189e-06,2.165811638566723e-08,1,256,1.0,0.011877290991833434,6.52650733300834,14.142087416985305,0.01452858402626589,20.127556458988693,0.04863129201112315,11.475678582995897,0.01691533299162984,52.3781099159969,0.2046019918593629,1024.0,
ckks_pca32_packed_lightplainmatrix,lightplainmatrix,450,True,True,0.9488888888888889,1.0,1.758647315430458e-08,1.9428867614745826e-06,2.244011720671108e-08,2,256,0.87890625,0.01182358301593922,6.326274208986433,14.400091792020248,0.032086167979286984,41.29179908198421,0.10153675000765361,23.047861207975075,0.03473441698588431,85.2616333750193,0.18947029638893179,1024.0,
