condition,n_samples,ok,semantic_validation_passed,accuracy,argmax_agreement_poly_vs_fhe,relative_l2,logits_linf,logits_mae,ciphertext_count,samples_per_ciphertext,slot_or_matrix_utilization,matrix_build_s,key_generation_s,encryption_s_total,linear1_s_total,activation_s_total,linear2_s_total,decryption_s_total,runtime_total_s,runtime_per_sample_s,exception
gl_pca32_packed,1,True,True,1.0,1.0,2.2919290950978245e-08,9.719278848407953e-08,4.211434686401949e-08,1,8192,0.0001220703125,0.3269369580084458,6.612141874997178,0.4756058750208467,3.159425082994858,4.066415874985978,1.092771833005827,0.4887388749921229,16.262018290988635,16.262018290988635,
gl_pca32_packed,32,True,True,0.9375,1.0,1.6849088460843825e-08,1.7041828848096685e-07,4.2882406766189036e-08,1,8192,0.00390625,0.3405174580111634,6.521663000021363,0.49193779201596044,3.238829000008991,3.981909624999389,1.1251291660009883,0.5110015829850454,16.2499017919763,0.5078094309992593,
gl_pca32_packed,64,True,True,0.953125,1.0,1.733199714180393e-08,2.3306427410219044e-07,4.5153198606811205e-08,1,8192,0.0078125,0.33312912500696257,6.578302542009624,0.49373837499297224,3.1218270829995163,3.9920634170121048,1.0963115000049584,0.4980557079834398,16.155065999977523,0.2524229062496488,
gl_pca32_packed,128,True,True,0.9453125,1.0,1.4611351214154063e-08,2.0187189164744268e-07,3.9481109176477984e-08,1,8192,0.015625,0.33355095799197443,6.540305083995918,0.47017079099896364,3.2791256250056904,4.059694833995309,1.0895605830010027,0.5026754999998957,16.315369874995667,0.12746382714840365,
gl_pca32_packed,256,True,True,0.93359375,1.0,1.5133162181236833e-08,2.9274347412844293e-07,4.132234196712296e-08,1,8192,0.03125,0.33208900000317954,6.512012874998618,0.5324281660141423,3.1677952090103645,4.088325499993516,1.324097915989114,0.5154462920036167,16.510558125009993,0.06449436767582029,
gl_pca32_packed,450,True,True,0.9488888888888889,1.0,1.49366482686556e-08,2.625628350294562e-07,4.117678824937229e-08,1,8192,0.054931640625,0.32950762499240227,6.748270917014452,0.4800416670041159,3.1705193750094622,3.960121916985372,1.0910370839992538,0.5005490829935297,16.325016749993665,0.036277814999985926,
