mode,n_samples,synthetic,semantic_validation_passed,accuracy,argmax_agreement_poly_vs_fhe,offline_total_s,online_total_s,server_only_online_s,runtime_total_s,runtime_per_sample_s,server_only_runtime_per_sample_s,ciphertext_count,sample_utilization,dense_matrix_mib_total,error_metrics,offline,online
dense,450,False,True,0.9488888888888889,1.0,15.350769667042186,208.6800299990573,208.62078675001976,208.6800299990573,0.4637333999979051,0.46360174833337725,2,0.87890625,1024.0,"{""logits_linf"": 3.299983086790803e-08, ""logits_mae"": 4.652865675523118e-09, ""logits_relative_l2"": 1.697168174583501e-09}","{""key_generation_s"": 0.0025902500201482326, ""evaluation_key_generation_s"": 15.336113249999471, ""input_tensor_construction_s"": 0.0002194170083384961, ""matrix_construction_s"": 0.011719875008566305, ""bias_construction_s"": 0.00012687500566244125}","{""encryption_s_total"": 0.029359875014051795, ""linear1_s_total"": 161.31248291701195, ""activation_s_total"": 0.08237083299900405, ""linear2_s_total"": 47.22593300000881, ""decryption_s_total"": 0.029883374023484066}"
plainmatrix,450,False,True,0.9488888888888889,1.0,55.11291691704537,88.45233987495885,88.38867033296265,88.45233987495885,0.19656075527768635,0.19641926740658366,2,0.87890625,1024.0,"{""logits_linf"": 1.8124659325879922e-06, ""logits_mae"": 2.1977135349063547e-08, ""logits_relative_l2"": 1.5169225775211115e-08}","{""key_generation_s"": 0.0025550000136718154, ""evaluation_key_generation_s"": 15.485929167014547, ""input_tensor_construction_s"": 0.00025412498507648706, ""matrix_encode_s"": 39.61240137499408, ""matrix_construction_s"": 0.011487458017654717, ""bias_construction_s"": 0.0002897920203395188}","{""encryption_s_total"": 0.02950270799919963, ""linear1_s_total"": 18.095793790969765, ""activation_s_total"": 0.10295508400304243, ""linear2_s_total"": 70.18992145798984, ""decryption_s_total"": 0.0341668339970056}"
lightplainmatrix,450,False,True,0.9488888888888889,1.0,21.81030883503263,63.44919724902138,63.386082332988735,63.44919724902138,0.1409982161089364,0.14085796073997497,2,0.87890625,1024.0,"{""logits_linf"": 2.2494357594382564e-06, ""logits_mae"": 2.2605246162096737e-08, ""logits_relative_l2"": 1.858271063171535e-08}","{""key_generation_s"": 0.002526374999433756, ""evaluation_key_generation_s"": 15.473497124999994, ""input_tensor_construction_s"": 0.00020829198183491826, ""matrix_encode_s"": 6.32257029201719, ""matrix_construction_s"": 0.011335167015204206, ""bias_construction_s"": 0.000171584018971771}","{""encryption_s_total"": 0.02893291600048542, ""linear1_s_total"": 40.451140040997416, ""activation_s_total"": 0.10318004200235009, ""linear2_s_total"": 22.83176224998897, ""decryption_s_total"": 0.03418200003216043}"
gl,450,False,True,0.9488888888888889,1.0,6.978507249994436,9.109221541002626,8.141616459004581,9.109221541002626,0.02024271453556139,0.01809248102001018,1,0.054931640625,,"{""logits_linf"": 2.5830404837279275e-07, ""logits_mae"": 4.3367088238831007e-08, ""logits_relative_l2"": 1.584359696621958e-08}","{""key_generation_s"": 0.0038092499889899045, ""evaluation_key_generation_s"": 6.644316666992381, ""input_tensor_construction_s"": 0.000435416994150728, ""weight_encoding_s"": 0.16768383301678114, ""matrix_construction_s"": 0.0, ""bias_construction_s"": 0.1622620830021333}","{""encryption_s_total"": 0.4809362909873016, ""linear1_s_total"": 3.0962524589849636, ""activation_s_total"": 4.002086666005198, ""linear2_s_total"": 1.0432773340144195, ""decryption_s_total"": 0.486668791010743}"
