condition,mode,n_samples,ok,semantic_validation_passed,accuracy,argmax_agreement_poly_vs_fhe,relative_l2,logits_linf,logits_mae,ciphertext_count,samples_per_ciphertext,slot_utilization,matrix_build_s,matrix_encode_s,key_generation_s,encryption_s_total,linear1_s_total,activation_s_total,linear2_s_total,decryption_s_total,runtime_total_s,runtime_per_sample_s,dense_matrix_mib_total,exception
ckks_pca32_packed_plainmatrix,plainmatrix,1,True,True,1.0,1.0,2.0192746016578304e-07,7.270060515818244e-07,3.9906923528509887e-07,1,256,0.00390625,0.011871374998008832,38.78268116700929,14.090390792000107,0.014869375008856878,8.288911707990337,0.0495822090015281,32.93738670798484,0.016947166004683822,94.20435237500351,94.20435237500351,1024.0,
ckks_pca32_packed_plainmatrix,plainmatrix,32,True,True,0.9375,1.0,3.70023176217697e-08,1.5701233929410474e-06,3.403566497014033e-08,1,256,0.125,0.011302416998660192,38.736501999985194,14.127215708984295,0.014527000021189451,8.287972499994794,0.04975637499592267,32.966567417024635,0.01688820798881352,94.22552783301217,2.94454774478163,1024.0,
ckks_pca32_packed_plainmatrix,plainmatrix,64,True,True,0.953125,1.0,2.484339982133718e-08,1.0527972886809067e-06,2.7834789808497375e-08,1,256,0.25,0.010796540998853743,38.90594204197987,14.08708495798055,0.014275583002017811,8.270148999989033,0.049792292003985494,33.234841041004984,0.016825541999423876,94.60367079198477,1.478182356124762,1024.0,
ckks_pca32_packed_plainmatrix,plainmatrix,128,True,True,0.9453125,1.0,1.2592450088364483e-08,5.802579302292832e-07,2.3567213011535196e-08,1,256,0.5,0.010872124985326082,38.909192083985545,14.057282959023723,0.01455391600029543,8.448859500000253,0.0530735419888515,32.80006791697815,0.01694779098033905,94.32374970900128,0.7369042946015725,1024.0,
ckks_pca32_packed_plainmatrix,plainmatrix,256,True,True,0.93359375,1.0,1.671245106425383e-08,1.3893247825524924e-06,2.236088172401872e-08,1,256,1.0,0.011159082991071045,38.67991191599867,14.053573042008793,0.01461137502337806,8.858257915999275,0.05224150000140071,33.11731308398885,0.016712334007024765,94.81873587498558,0.3703856870116624,1024.0,
ckks_pca32_packed_plainmatrix,plainmatrix,450,True,True,0.9488888888888889,1.0,2.1939126823052e-08,1.6852340622985906e-06,2.3811917384207787e-08,2,256,0.87890625,0.011105208017397672,39.23699541701353,13.958581209008116,0.029903499002102762,17.580631457996788,0.1030337080010213,68.0208797089872,0.03430029097944498,138.99018554200302,0.3088670789822289,1024.0,
